pays ,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SH,SZ,SO,SG,TG,TI,UR,VS,VD,ZG,ZH
Suisse,359014,101773,136694,141470,306478,2324136,277323,593220,105645,2863056,87743,663046,115886,94392,250020,60965,385569,182367,579636,249476,1352150,91789,2057619,990182,139919,1242799
Allemagne,146739,22181,16050,46742,195333,615350,40659,121619,14255,1294952,3734,196658,17596,33422,86738,23322,94509,75413,214001,91168,349340,55129,531197,170080,45048,706657
Royaume-Uni,14180,1464,673,5647,83728,303256,7625,232185,819,149020,595,66949,6782,11017,25675,6170,9530,4969,15842,3289,38233,5567,269472,145084,19969,272007
France,17732,1099,937,7870,47407,131290,33413,241876,759,64132,4258,32081,32047,3171,5493,3837,6139,7170,12841,5834,43254,5171,223501,329691,7258,125905
Italie,18934,1114,751,7233,42214,64866,9081,85419,1463,203506,1004,39700,8588,3644,3311,4286,8193,9973,16572,8342,187778,4818,65077,79397,7177,125078
Pays-Bas,11283,851,691,7080,29277,145857,5063,40580,3255,139110,300,36110,2567,14019,15005,4553,25196,11825,51603,6449,51253,16079,119009,36719,6965,66739
Belgique,4027,371,358,2714,14917,100380,5358,45354,714,98109,706,14687,3155,5928,7415,1314,6294,3445,7024,1501,29027,6939,168612,113185,3027,33956
Espagne,5513,408,145,2720,23998,46980,6809,100748,141,12980,330,18098,3616,545,1767,1237,1790,4579,5386,1883,14022,766,31433,42210,3806,119553
Autriche,13506,1429,418,3894,14210,40986,5419,18271,1661,62617,203,18458,1443,2149,4079,2470,8887,8561,20136,8008,19075,3026,27826,16741,4599,92194
Suède,4084,203,109,1193,7312,15984,1875,24040,165,20611,89,5242,1080,309,13938,634,940,1621,3662,1329,6967,4269,33249,13733,2239,38639
Pologne,7224,295,0,1381,7038,12208,1128,13825,157,22635,63,7640,961,447,1216,1626,3229,4766,3687,2015,4356,402,10467,12169,1668,29494
Danemark,4010,220,77,1021,6376,13006,2229,12621,67,22930,67,4911,1274,908,1861,604,2492,2380,3244,808,6525,862,11736,10293,1708,21532
Luxembourg,633,42,0,475,3487,20467,752,6683,337,23782,51,3691,505,1073,2410,134,1179,436,2001,493,9754,692,17070,6219,303,12352
Portugal,2630,687,0,722,4385,6562,3299,27582,85,4917,158,4355,1413,213,252,223,384,1416,1081,516,4141,345,7121,18638,662,18232
République tchèque,2337,504,0,2077,4237,13835,855,8885,80,15995,90,2686,908,309,2252,466,1354,1670,4638,1761,3181,1633,9291,7188,1168,18036
Norvège,1324,121,0,410,2723,7545,498,15426,47,11187,35,3243,330,261,4388,553,633,406,2047,1165,3691,998,19757,8242,1138,18408
Grèce,891,139,0,191,4937,5991,348,24137,56,6816,187,4756,374,116,104,149,328,313,882,200,3673,125,5152,13657,736,27304
Finlande,1649,320,0,303,2399,7895,553,12976,59,12523,35,2787,673,91,2230,608,584,676,2030,877,2804,885,11139,9583,1393,20212
Roumanie,1465,132,0,534,4255,4879,620,12829,33,3520,23,4702,677,47,166,174,371,493,1826,802,13525,83,3738,8503,1068,22320
Hongrie,3126,437,145,499,5264,4710,606,11430,100,2717,26,3727,319,416,830,455,1009,1945,1818,1006,3484,7429,3593,9099,1348,18826
Ukraine,827,253,0,187,1578,4828,415,16371,47,6406,13,1543,336,70,115,215,1715,274,2201,450,4279,1052,5327,6918,559,16628
Irlande (Eire),587,100,0,310,4507,6129,481,11847,1,3293,202,3616,990,96,131,331,345,247,979,355,1821,99,4323,6089,763,17623
Bulgarie,602,32,0,202,1826,3486,448,6217,31,1813,16,1359,119,96,561,124,203,1140,586,266,2239,311,2196,3845,777,9861
Slovaquie,1674,98,0,349,989,3645,407,2669,18,3571,129,2050,88,61,188,111,264,1123,1100,2429,1224,277,1596,1967,395,9862
Serbie,1790,43,0,228,1076,1184,346,4439,84,1040,10,2029,101,24,8,109,550,465,1144,443,1379,17,958,2544,538,7147
Croatie,3178,41,0,128,719,2550,164,3186,41,1987,44,1456,127,25,24,220,277,166,805,426,1671,657,972,2203,391,5302
Liechtenstein,531,176,303,147,627,3024,164,515,90,5866,28,876,127,59,144,70,268,307,2566,238,3854,47,1342,846,157,3914
Slovénie,436,27,0,127,1138,2529,122,2603,19,2370,6,1366,170,174,110,71,717,1382,1084,565,1285,197,2612,1389,539,4674
Estonie,248,9,0,27,218,1943,50,4735,13,2198,0,856,46,5,180,21,106,62,198,132,1202,256,960,879,180,1825
Lettonie,267,23,0,21,439,1081,25,2310,0,1868,0,449,44,34,576,27,194,76,176,23,1965,356,1311,750,68,2974
Lituanie,150,23,0,99,411,2024,137,2410,4,1269,0,526,55,4,228,7,86,85,100,80,1065,152,1030,1321,98,2911
Islande,124,14,0,31,576,1057,49,1574,18,599,0,829,79,49,38,31,102,199,553,50,834,6,453,1588,415,2226
Malte,11,1,0,59,375,1206,34,1632,5,466,2,345,16,30,709,841,29,31,62,14,673,27,997,194,122,2347
Chypre,8,42,0,22,330,674,35,1949,0,493,0,576,30,2,16,8,30,42,137,17,184,16,541,830,78,3174